frame,joint,x,y
0,nose,1763,440
0,poll,1628,241
0,withers,1309,187
0,spine_1,1186,173
0,spine_2,993,163
0,spine_3,810,152
0,hip,637,237
0,tail_base,541,187
0,knee_front_left,1178,715
0,knee_front_right,1369,684
0,hock_rear_left,516,602
0,hock_rear_right,644,639
0,hoof_front_left,1182,883
0,hoof_front_right,1414,900
0,hoof_rear_left,512,865
0,hoof_rear_right,802,894
1,nose,1761,450
1,poll,1630,245
1,withers,1311,192
1,spine_1,1194,177
1,spine_2,995,155
1,spine_3,800,144
1,hip,650,241
1,tail_base,541,191
1,knee_front_left,1165,711
1,knee_front_right,1389,692
1,hock_rear_left,514,596
1,hock_rear_right,629,643
1,hoof_front_left,1165,883
1,hoof_front_right,1426,896
1,hoof_rear_left,494,844
1,hoof_rear_right,783,887
2,nose,1745,446
2,poll,1621,245
2,withers,1297,192
2,spine_1,1165,175
2,spine_2,991,157
2,spine_3,812,142
2,hip,650,245
2,tail_base,539,192
2,knee_front_left,1149,721
2,knee_front_right,1395,701
2,hock_rear_left,510,596
2,hock_rear_right,617,635
2,hoof_front_left,1137,879
2,hoof_front_right,1443,906
2,hoof_rear_left,481,855
2,hoof_rear_right,750,883
3,nose,1745,452
3,poll,1622,247
3,withers,1332,204
3,spine_1,1207,179
3,spine_2,991,159
3,spine_3,802,150
3,hip,639,245
3,tail_base,535,191
3,knee_front_left,1137,709
3,knee_front_right,1383,711
3,hock_rear_left,504,594
3,hock_rear_right,619,660
3,hoof_front_left,1126,883
3,hoof_front_right,1443,910
3,hoof_rear_left,463,851
3,hoof_rear_right,740,883
4,nose,1743,456
4,poll,1617,251
4,withers,1357,214
4,spine_1,1227,183
4,spine_2,1005,159
4,spine_3,816,142
4,hip,650,241
4,tail_base,539,196
4,knee_front_left,1118,713
4,knee_front_right,1373,719
4,hock_rear_left,506,588
4,hock_rear_right,607,629
4,hoof_front_left,1102,883
4,hoof_front_right,1430,910
4,hoof_rear_left,461,855
4,hoof_rear_right,726,877
5,nose,1753,454
5,poll,1611,251
5,withers,1328,204
5,spine_1,1206,183
5,spine_2,1005,159
5,spine_3,810,146
5,hip,637,233
5,tail_base,545,189
5,knee_front_left,1108,711
5,knee_front_right,1348,721
5,hock_rear_left,504,577
5,hock_rear_right,588,629
5,hoof_front_left,1091,877
5,hoof_front_right,1408,914
5,hoof_rear_left,459,828
5,hoof_rear_right,699,879
6,nose,1747,456
6,poll,1615,249
6,withers,1342,214
6,spine_1,1215,183
6,spine_2,1001,157
6,spine_3,824,146
6,hip,642,235
6,tail_base,539,179
6,knee_front_left,1094,711
6,knee_front_right,1338,719
6,hock_rear_left,510,575
6,hock_rear_right,566,623
6,hoof_front_left,1065,875
6,hoof_front_right,1391,910
6,hoof_rear_left,469,814
6,hoof_rear_right,691,883
7,nose,1751,452
7,poll,1611,251
7,withers,1334,214
7,spine_1,1229,183
7,spine_2,1022,155
7,spine_3,812,150
7,hip,654,230
7,tail_base,545,187
7,knee_front_left,1083,723
7,knee_front_right,1320,732
7,hock_rear_left,524,571
7,hock_rear_right,557,617
7,hoof_front_left,1054,877
7,hoof_front_right,1375,914
7,hoof_rear_left,500,810
7,hoof_rear_right,674,887
8,nose,1739,458
8,poll,1611,247
8,withers,1319,210
8,spine_1,1215,183
8,spine_2,997,157
8,spine_3,818,155
8,hip,635,239
8,tail_base,553,189
8,knee_front_left,1081,721
8,knee_front_right,1305,721
8,hock_rear_left,531,567
8,hock_rear_right,539,617
8,hoof_front_left,1040,875
8,hoof_front_right,1348,910
8,hoof_rear_left,543,801
8,hoof_rear_right,660,879
9,nose,1745,452
9,poll,1630,239
9,withers,1326,214
9,spine_1,1215,187
9,spine_2,985,155
9,spine_3,806,150
9,hip,650,231
9,tail_base,545,183
9,knee_front_left,1071,711
9,knee_front_right,1291,723
9,hock_rear_left,566,588
9,hock_rear_right,539,602
9,hoof_front_left,1032,871
9,hoof_front_right,1344,912
9,hoof_rear_left,609,766
9,hoof_rear_right,642,883
10,nose,1743,454
10,poll,1617,230
10,withers,1319,198
10,spine_1,1198,187
10,spine_2,989,157
10,spine_3,810,146
10,hip,625,224
10,tail_base,539,173
10,knee_front_left,1063,719
10,knee_front_right,1291,729
10,hock_rear_left,594,602
10,hock_rear_right,526,608
10,hoof_front_left,1009,867
10,hoof_front_right,1330,914
10,hoof_rear_left,635,787
10,hoof_rear_right,627,879
11,nose,1743,440
11,poll,1621,231
11,withers,1336,204
11,spine_1,1202,179
11,spine_2,995,154
11,spine_3,810,146
11,hip,642,228
11,tail_base,545,171
11,knee_front_left,1059,717
11,knee_front_right,1272,719
11,hock_rear_left,631,608
11,hock_rear_right,531,600
11,hoof_front_left,993,869
11,hoof_front_right,1315,912
11,hoof_rear_left,715,844
11,hoof_rear_right,602,879
12,nose,1743,426
12,poll,1619,228
12,withers,1307,200
12,spine_1,1178,179
12,spine_2,974,155
12,spine_3,810,140
12,hip,642,228
